user_id,email,password,full_name,phone_number,plaid_access_token,plaid_item_id,is_active,account_id
USR601Ie,cooperjulie@gmail.com,7XQ6_BQd^gb,Matthew Chung,9940257284540,none,none,True,2139676416712885
USR784ar,georgeamanda@yahoo.com,f7XYyxbc*1g,Mary Herring,163685278612,none,none,True,7543884398141519
USR821Id,ifowler@yahoo.com,nQ!6yJFkavM),Eric Lee,9010451165086,none,none,False,1604890074220810
USR559Pi,orrkaitlin@hotmail.com,#6%1jeWkI7NN,Jackie Hughes,1403156369907,none,none,True,5941501766570540
USR200Qr,joseph45@gmail.com,F8uJZvLq),Sara Franklin,6357412364929,none,none,True,3512077158593814
USR674rM,rachael60@gmail.com,Y5%rc4Bm@I,Kathleen Blake,2950127882471,none,none,False,5803693697951858
USR240hY,amandaporter@yahoo.com,8A*N9WqutJ3,Dr. Kathryn Branch,8068443470772,none,none,False,4224306651356493
USR778Dk,bowersdonna@yahoo.com,6vSzq%v3^4,Sheri Jackson,7533389736473,none,none,True,3949741928248699
USR546jz,oswanson@hotmail.com,d8K6$Ol5(,Michelle Ramos,3758513797865,none,none,True,7764623284161428
USR663xt,karensellers@yahoo.com,(nx1E&kYEk,Andre Thomas,5618528697989,none,none,False,9446891202578633
USR661vO,maryespinoza@gmail.com,28JLzSIu(6F,Judy Becker,5805700709211,none,none,False,2615180011966079
USR451OQ,chandlerkenneth@yahoo.com,oqt1rAo!$+@,Monique Rivas,4134960346473,none,none,False,5574944151033046
USR691Fc,smithrobert@yahoo.com,i81NPq#3!,Brooke Shaw,1189912437097,none,none,False,5767004796880259
USR479Ei,hcrane@gmail.com,EG7V!K5gT7%!,Jeremy Cortez,7048945915671,none,none,True,9389130119020628
USR581oW,bgordon@gmail.com,$JC06Cur,Kelly Curtis,4784718713442,none,none,True,8179573942020720
USR847gv,ajohnson@hotmail.com,*5wSnyQWr,Erika Stewart,993849048480,none,none,False,8848874948850153
USR759Fr,morriselizabeth@gmail.com,&C5S+ymm,Michelle Harrison,8941613265726,none,none,True,3555536118789913
USR689zf,smithjamie@hotmail.com,$OE!5Qiy3P,Sydney Hudson,3759061674399,none,none,True,4202632551640792
USR007mU,katiedavis@yahoo.com,y(5UoQByW^q),Pamela King,643760639444,none,none,True,0359069724284360
